suffix	time	taxid	refseq	description	rclass	aclass	ID	Hdepth%	%>2	nregions	Rsize	Pval	ngaps	Gdist	Gsize
child_0-0	148	93386	NC_034266.1	Columbid alphaherpesvirus 1 strain=HLJ	True	False	total	0.0016794214564452	0.0602241513535745	5	15.0	0.5	6	123.0	15.0
child_0-0	148	93386	NC_034266.1	Columbid alphaherpesvirus 1 strain=HLJ	True	False	NC_034266.1	0.0016794214564452	0.0602241513535745	5	15.0	0.5	6	123.0	15.0
child_0-0	148	2004966	NC_038500.1	Rhinolophus associated gemykibivirus 2	True	False	total	0.018018018018018	0.0	0	0	1	1	0.0	
child_0-0	148	2004966	NC_038500.1	Rhinolophus associated gemykibivirus 2	True	False	NC_038500.1	0.018018018018018	0.0	0	0	1	1	0.0	
child_0-0	148	2607629	NC_055577.1	Physalis rugose mosaic virus	True	True	total	0.0445508982035928	0.7904191616766467	1	2.0	0.0	2	33.0	2.0
child_0-0	148	2607629	NC_055577.1	Physalis rugose mosaic virus	True	True	NC_055577.1	0.0445508982035928	0.7904191616766467	1	2.0	0.0	2	33.0	2.0
child_0-0	148	10371	NC_026421.1	Equid gammaherpesvirus 5 strain=2-141/67	True	False	total	0.0005483057352779	0.0180940892641737	1	33.0	1	2	33.0	33.0
child_0-0	148	10371	NC_026421.1	Equid gammaherpesvirus 5 strain=2-141/67	True	False	NC_026421.1	0.0005483057352779	0.0180940892641737	1	33.0	1	2	33.0	33.0
child_0-0	148	11047	NC_002532.2	Equine arteritis virus strain=Bucyrus	True	True	total	79.3798016372796	99.87405541561712	1	1.0	3.029856599928581e-83	1	0.0	1.0
child_0-0	148	11047	NC_002532.2	Equine arteritis virus strain=Bucyrus	True	True	NC_002532.2	79.3798016372796	99.87405541561712	1	1.0	3.029856599928581e-83	1	0.0	1.0
child_0-0	148	493803	NC_010277.2	Merkel cell polyomavirus	True	True	total	0.1444217560794505	2.69166511973269	3	39.0	0.0	4	145.0	39.0
child_0-0	148	493803	NC_010277.2	Merkel cell polyomavirus	True	True	NC_010277.2	0.1444217560794505	2.69166511973269	3	39.0	0.0	4	145.0	39.0
child_0-0	148	11834	NC_009889.1	RD114 retrovirus	True	True	total	0.0340233166785629	0.46395431834404	1	39.0	1	2	39.0	39.0
child_0-0	148	11834	NC_009889.1	RD114 retrovirus	True	True	NC_009889.1	0.0340233166785629	0.46395431834404	1	39.0	1	2	39.0	39.0
child_0-0	148	2759177	NC_055862.1	Vibrio phage ValB1MD-2	False	True	total	0.0033318767751802	0.0846624426480227	1	1.0	0.0	1	0	36585.0
child_0-0	148	2759177	NC_055862.1	Vibrio phage ValB1MD-2	False	True	NC_055862.1	0.0033318767751802	0.0846624426480227	1	1.0	0.0	1	0	36585.0
child_0-0	148	1503291	NC_028833.1	BtNv-AlphaCoV/SC2013	False	True	total	0.0357772738725119	0.997012561638412	1	38.0	0.0	2	277.0	38.0
child_0-0	148	1503291	NC_028833.1	BtNv-AlphaCoV/SC2013	False	True	NC_028833.1	0.0357772738725119	0.997012561638412	1	38.0	0.0	2	277.0	38.0
child_0-0	148	1958907	NC_047813.1	Staphylococcus phage Andhra	False	True	total	0.0185484740644883	0.3504798878464359	2	15.0	0.5	3	65.0	15.0
child_0-0	148	1958907	NC_047813.1	Staphylococcus phage Andhra	False	True	NC_047813.1	0.0185484740644883	0.3504798878464359	2	15.0	0.5	3	65.0	15.0
child_0-0	148	1920748	NC_048216.1	NL63-related bat coronavirus strain=BtKYNL63-9b	False	True	total	0.0334042330625196	0.7984936713274522	2	14.0	0.0	3	229.0	14.0
child_0-0	148	1920748	NC_048216.1	NL63-related bat coronavirus strain=BtKYNL63-9b	False	True	NC_048216.1	0.0334042330625196	0.7984936713274522	2	14.0	0.0	3	229.0	14.0
child_0-0	148	56947	NC_008168.1	Choristoneura fumiferana granulovirus	True	True	total	0.0014802788654378	0.0563460987489256	1	8.0	0.0	2	59.0	8.0
child_0-0	148	56947	NC_008168.1	Choristoneura fumiferana granulovirus	True	True	NC_008168.1	0.0014802788654378	0.0563460987489256	1	8.0	0.0	2	59.0	8.0
child_0-0	148	11137	NC_002645.1	Human coronavirus 229E	False	True	total	0.0467840538858586	0.6662517846029945	2	66.5	0.0	2	140.0	66.5
child_0-0	148	11137	NC_002645.1	Human coronavirus 229E	False	True	NC_002645.1	0.0467840538858586	0.6662517846029945	2	66.5	0.0	2	140.0	66.5
child_0-0	148	277944	NC_005831.2	Human coronavirus NL63 strain=Amsterdam I	True	True	total	6.430951257576307	92.77755598301457	30	7.0	3.029856599928581e-83	35	25563.0	7.0
child_0-0	148	277944	NC_005831.2	Human coronavirus NL63 strain=Amsterdam I	True	True	NC_005831.2	6.430951257576307	92.77755598301457	30	7.0	3.029856599928581e-83	35	25563.0	7.0
child_0-0	148	35306	NC_018476.1	Simbu orthobunyavirus	True	False	total	0.0118926758520667	0.5946337926033357	1	41.0	1	1	0	6854.0
child_0-0	148	35306	NC_018476.1	Simbu orthobunyavirus	True	False	NC_018476.1	0.0118926758520667	0.5946337926033357	1	41.0	1	1	0	6854.0
child_0-0	148	1699095	NC_028752.1	Camel alphacoronavirus	False	True	total	0.0014601204599379	0.0	0	0	1	1	0.0	
child_0-0	148	1699095	NC_028752.1	Camel alphacoronavirus	False	True	NC_028752.1	0.0014601204599379	0.0	0	0	1	1	0.0	
child_0-0	148	2500149	NC_053004.1	Salmonella phage TS13	False	True	total	0.0041238507301243	0.0997160627366143	2	14.0	0.0	3	59.0	14.0
child_0-0	148	2500149	NC_053004.1	Salmonella phage TS13	False	True	NC_053004.1	0.0041238507301243	0.0997160627366143	2	14.0	0.0	3	59.0	14.0
child_0-0	148	1510155	NC_024450.1	Falconid herpesvirus 1 strain=S-18	True	False	total	0.0016809275975967	0.0602781616630891	5	15.0	0.5	6	123.0	15.0
child_0-0	148	1510155	NC_024450.1	Falconid herpesvirus 1 strain=S-18	True	False	NC_024450.1	0.0016809275975967	0.0602781616630891	5	15.0	0.5	6	123.0	15.0
