suffix	time	taxid	refseq	description	rclass	aclass	ID	Hdepth%	%>2	nregions	Rsize	Pval	ngaps	Gdist	Gsize
child_0-0	351	1041406	NC_042330.1	Mycobacterium virus Ericb	True	False	total	0.0145062086573053	0.0483540288576844	1	25.0	1	2	25.0	25.0
child_0-0	351	1041406	NC_042330.1	Mycobacterium virus Ericb	True	False	NC_042330_1	0.0145062086573053	0.0483540288576844	1	25.0	1	2	25.0	25.0
child_0-0	351	2004966	NC_038500.1	Rhinolophus associated gemykibivirus 2	True	False	total	0.1896896896896897	1.8018018018018016	1	1.0	0.0	2	36.0	1.0
child_0-0	351	2004966	NC_038500.1	Rhinolophus associated gemykibivirus 2	True	False	NC_038500_1	0.1896896896896897	1.8018018018018016	1	1.0	0.0	2	36.0	1.0
child_0-0	351	2607629	NC_055577.1	Physalis rugose mosaic virus	True	False	total	416.9152095808384	1.029940119760479	1	1.0	0.0	2	43.0	1.0
child_0-0	351	2607629	NC_055577.1	Physalis rugose mosaic virus	True	False	NC_055577_1	416.9152095808384	1.029940119760479	1	1.0	0.0	2	43.0	1.0
child_0-0	351	10371	NC_026421.1	Equid gammaherpesvirus 5 strain=2-141/67	True	False	total	0.0024070621778703	0.0290602039697335	2	11.0	0.0	3	53.0	11.0
child_0-0	351	10371	NC_026421.1	Equid gammaherpesvirus 5 strain=2-141/67	True	False	NC_026421_1	0.0024070621778703	0.0290602039697335	2	11.0	0.0	3	53.0	11.0
child_0-0	351	11047	NC_002532.2	Equine arteritis virus strain=Bucyrus	True	False	total	174.02125314861462	99.90554156171284	1	4.0	3.029856599928581e-83	1	0	12.0
child_0-0	351	11047	NC_002532.2	Equine arteritis virus strain=Bucyrus	True	False	NC_002532_2	174.02125314861462	99.90554156171284	1	4.0	3.029856599928581e-83	1	0	12.0
child_0-0	351	1285600	NC_008030.1	Nile crocodilepox virus	True	False	total	0.0001210182369221	0.0	0	0	1	1	0.0	
child_0-0	351	1285600	NC_008030.1	Nile crocodilepox virus	True	False	NC_008030_1	0.0001210182369221	0.0	0	0	1	1	0.0	
child_0-0	351	10390	NC_002229.3	Gallid alphaherpesvirus 2 strain=Md5	True	False	total	0.0039072601954192	0.0669012896769623	3	24.0	0.0	4	119.0	24.0
child_0-0	351	10390	NC_002229.3	Gallid alphaherpesvirus 2 strain=Md5	True	False	NC_002229_3	0.0039072601954192	0.0669012896769623	3	24.0	0.0	4	119.0	24.0
child_0-0	351	317878	NC_019495.1	Cyprinid herpesvirus 2 strain=ST-J1	True	False	total	0.0022218088624338	0.0499476410934744	4	26.5	0.0	5	145.0	26.5
child_0-0	351	317878	NC_019495.1	Cyprinid herpesvirus 2 strain=ST-J1	True	False	NC_019495_1	0.0022218088624338	0.0499476410934744	4	26.5	0.0	5	145.0	26.5
child_0-0	351	493803	NC_010277.2	Merkel cell polyomavirus	True	False	total	0.351958418414702	13.495452014108038	4	63.5	0.0	5	727.0	63.5
child_0-0	351	493803	NC_010277.2	Merkel cell polyomavirus	True	False	NC_010277_2	0.351958418414702	13.495452014108038	4	63.5	0.0	5	727.0	63.5
child_0-0	351	2107709	NC_037667.1	Pandoravirus quercus	True	False	total	0.4712991169255298	0.0024551241811438	2	12.5	0.0	3	51.0	12.5
child_0-0	351	2107709	NC_037667.1	Pandoravirus quercus	True	False	NC_037667_1	0.4712991169255298	0.0024551241811438	2	12.5	0.0	3	51.0	12.5
child_0-0	351	56947	NC_008168.1	Choristoneura fumiferana granulovirus	True	False	total	0.0693725527647789	0.1604431286410085	2	1.0	0.0	3	168.0	1.0
