suffix	time	taxid	refseq	description	rclass	aclass	ID	Hdepth%	%>2	nregions	Rsize	Pval	ngaps	Gdist	Gsize
child_0-0	45	290028	NC_006577.2	Human coronavirus HKU1	True	True	total	0.0351533783332219	1.3065561718906635	4	83.0	0.0	5	391.0	83.0
child_0-0	45	290028	NC_006577.2	Human coronavirus HKU1	True	True	NC_006577.2	0.0351533783332219	1.3065561718906635	4	83.0	0.0	5	391.0	83.0
child_0-0	45	11047	NC_002532.2	Equine arteritis virus strain=Bucyrus	True	False	total	3.896725440806045	84.35925692695214	37	13.0	3.029856599928581e-83	40	10717.0	13.0
child_0-0	45	11047	NC_002532.2	Equine arteritis virus strain=Bucyrus	True	False	NC_002532.2	3.896725440806045	84.35925692695214	37	13.0	3.029856599928581e-83	40	10717.0	13.0
child_0-0	45	1503291	NC_028833.1	BtNv-AlphaCoV/SC2013	False	True	total	0.5793470827484433	1.770867076989526	5	11.0	0.0	8	492.0	11.0
child_0-0	45	1503291	NC_028833.1	BtNv-AlphaCoV/SC2013	False	True	NC_028833.1	0.5793470827484433	1.770867076989526	5	11.0	0.0	8	492.0	11.0
child_0-0	45	1508228	NC_035191.1	Wencheng Sm shrew coronavirus	False	True	total	0.3551452202346605	0.6655125985766494	2	2.5	0.0	7	173.0	2.5
child_0-0	45	1508228	NC_035191.1	Wencheng Sm shrew coronavirus	False	True	NC_035191.1	0.3551452202346605	0.6655125985766494	2	2.5	0.0	7	173.0	2.5
child_0-0	45	1920748	NC_048216.1	NL63-related bat coronavirus strain=BtKYNL63-9b	False	True	total	0.113114125318177	0.917047316852052	3	16.0	0.0	5	263.0	16.0
child_0-0	45	1920748	NC_048216.1	NL63-related bat coronavirus strain=BtKYNL63-9b	False	True	NC_048216.1	0.113114125318177	0.917047316852052	3	16.0	0.0	5	263.0	16.0
child_0-0	45	11137	NC_002645.1	Human coronavirus 229E	False	True	total	0.9342167880806824	1.6619687374162608	2	8.0	0.0	3	454.0	8.0
child_0-0	45	11137	NC_002645.1	Human coronavirus 229E	False	True	NC_002645.1	0.9342167880806824	1.6619687374162608	2	8.0	0.0	3	454.0	8.0
child_0-0	45	277944	NC_005831.2	Human coronavirus NL63 strain=Amsterdam I	True	True	total	243.98914818713027	99.93467136065038	2	19.5	3.029856599928581e-83	3	27534.0	19.5
child_0-0	45	277944	NC_005831.2	Human coronavirus NL63 strain=Amsterdam I	True	True	NC_005831.2	243.98914818713027	99.93467136065038	2	19.5	3.029856599928581e-83	3	27534.0	19.5
child_0-0	45	1699095	NC_028752.1	Camel alphacoronavirus	False	True	total	0.3600657054206972	1.4637707610877897	3	18.0	0.0	5	401.0	18.0
child_0-0	45	1699095	NC_028752.1	Camel alphacoronavirus	False	True	NC_028752.1	0.3600657054206972	1.4637707610877897	3	18.0	0.0	5	401.0	18.0
child_0-0	45	1503289	NC_028811.1	BtMr-AlphaCoV/SAX2011	False	True	total	0.4221227850366923	0.7087882584571327	2	19.0	0.0	4	198.0	19.0
child_0-0	45	1503289	NC_028811.1	BtMr-AlphaCoV/SAX2011	False	True	NC_028811.1	0.4221227850366923	0.7087882584571327	2	19.0	0.0	4	198.0	19.0
